Category,Target_File,N_Constraint,Direct_Tokens_Needed,Input_Prompt_Tokens,Output_Tokens_Generated,Context_Truncated,Time_Limit_MS,Measured_CPU_MS,Status,Exploit_Or_Failure_Analysis
MATHEMATICS,victim_036_math.cpp,200000,254265,227,4076,True,2000.0,10.056,EXPLOIT_FAILED,"Context Window Exhausted: Target required 254,265 direct tokens for N=200,000, but output truncated at 4,076 tokens (~3,207 integers). Premature EOF caused exit in 10.056ms."
MATHEMATICS,victim_037_math.cpp,200005,248835,326,4072,True,2000.0,16.408,EXPLOIT_FAILED,"Context Window Exhausted: Target required 248,835 direct tokens for N=200,005, but output truncated at 4,072 tokens (~3,273 integers). Premature EOF caused exit in 16.408ms."
MATHEMATICS,victim_038_math.cpp,100000,125231,281,4085,True,100.0,10.076,EXPLOIT_FAILED,"Context Window Exhausted: Target required 125,231 direct tokens for N=100,000, but output truncated at 4,085 tokens (~3,262 integers). Premature EOF caused exit in 10.076ms."
GRAPH THEORY,victim_039_graph.cpp,200000,252954,283,4072,True,2000.0,0.497,EXPLOIT_FAILED,"Context Window Exhausted: Target required 252,954 direct tokens for N=200,000, but output truncated at 4,072 tokens (~3,220 integers). Premature EOF caused exit in 0.497ms."
GENERAL,victim_040_backtracking.cpp,100000,125774,215,4080,True,1000.0,5.209,EXPLOIT_FAILED,"Context Window Exhausted: Target required 125,774 direct tokens for N=100,000, but output truncated at 4,080 tokens (~3,245 integers). Premature EOF caused exit in 5.209ms."
GREEDY,victim_041_greedy.cpp,200000,254474,318,4090,True,2000.0,11.331,EXPLOIT_FAILED,"Context Window Exhausted: Target required 254,474 direct tokens for N=200,000, but output truncated at 4,090 tokens (~3,214 integers). Premature EOF caused exit in 11.331ms."
MATHEMATICS,victim_043_math.cpp,100000,124966,223,4083,True,2000.0,0.597,EXPLOIT_FAILED,"Context Window Exhausted: Target required 124,966 direct tokens for N=100,000, but output truncated at 4,083 tokens (~3,267 integers). Premature EOF caused exit in 0.597ms."
DYNAMIC PROGRAMMING,victim_045_dp.cpp,200000,249247,241,4077,True,2000.0,13.933,EXPLOIT_FAILED,"Context Window Exhausted: Target required 249,247 direct tokens for N=200,000, but output truncated at 4,077 tokens (~3,271 integers). Premature EOF caused exit in 13.933ms."
DYNAMIC PROGRAMMING,victim_046_dp.cpp,300000,379365,278,4084,True,1000.0,11.9,EXPLOIT_FAILED,"Context Window Exhausted: Target required 379,365 direct tokens for N=300,000, but output truncated at 4,084 tokens (~3,230 integers). Premature EOF caused exit in 11.9ms."
CONSTRUCTIVE,victim_047_constructive.cpp,200000,247990,333,4090,True,2000.0,12.635,EXPLOIT_FAILED,"Context Window Exhausted: Target required 247,990 direct tokens for N=200,000, but output truncated at 4,090 tokens (~3,299 integers). Premature EOF caused exit in 12.635ms."
DYNAMIC PROGRAMMING,victim_048_dp.cpp,200000,254938,343,4077,True,2000.0,9.139,EXPLOIT_FAILED,"Context Window Exhausted: Target required 254,938 direct tokens for N=200,000, but output truncated at 4,077 tokens (~3,199 integers). Premature EOF caused exit in 9.139ms."
GRAPH THEORY,victim_049_graph.cpp,100000,126350,287,4079,True,2000.0,10.053,EXPLOIT_FAILED,"Context Window Exhausted: Target required 126,350 direct tokens for N=100,000, but output truncated at 4,079 tokens (~3,229 integers). Premature EOF caused exit in 10.053ms."
DATA STRUCTURES,victim_050_treap.cpp,200000,248543,272,4077,True,2000.0,3.426,EXPLOIT_FAILED,"Context Window Exhausted: Target required 248,543 direct tokens for N=200,000, but output truncated at 4,077 tokens (~3,281 integers). Premature EOF caused exit in 3.426ms."
GRAPH THEORY,victim_051_graph.cpp,500010,628447,281,4080,True,2000.0,17.806,EXPLOIT_FAILED,"Context Window Exhausted: Target required 628,447 direct tokens for N=500,010, but output truncated at 4,080 tokens (~3,246 integers). Premature EOF caused exit in 17.806ms."
GREEDY,victim_053_greedy.cpp,105,179,243,87,False,100.0,3.842,EXPLOIT_FAILED,Uniform random distribution failed to trigger algorithmic worst-case (3.842ms < 100.0ms).
GREEDY,victim_056_greedy.cpp,200000,249965,325,4093,True,2000.0,7.324,EXPLOIT_FAILED,"Context Window Exhausted: Target required 249,965 direct tokens for N=200,000, but output truncated at 4,093 tokens (~3,275 integers). Premature EOF caused exit in 7.324ms."
DATA STRUCTURES,victim_057_ds.cpp,500005,628686,279,4086,True,5000.0,15.767,EXPLOIT_FAILED,"Context Window Exhausted: Target required 628,686 direct tokens for N=500,005, but output truncated at 4,086 tokens (~3,249 integers). Premature EOF caused exit in 15.767ms."
CONSTRUCTIVE,victim_058_constructive.cpp,200000,251958,315,4083,True,2000.0,14.75,EXPLOIT_FAILED,"Context Window Exhausted: Target required 251,958 direct tokens for N=200,000, but output truncated at 4,083 tokens (~3,242 integers). Premature EOF caused exit in 14.75ms."
DYNAMIC PROGRAMMING,victim_059_dp.cpp,500005,620740,263,4094,True,2000.0,4.188,EXPLOIT_FAILED,"Context Window Exhausted: Target required 620,740 direct tokens for N=500,005, but output truncated at 4,094 tokens (~3,298 integers). Premature EOF caused exit in 4.188ms."
DYNAMIC PROGRAMMING,victim_061_dp.cpp,200000,252823,299,4091,True,2000.0,12.972,EXPLOIT_FAILED,"Context Window Exhausted: Target required 252,823 direct tokens for N=200,000, but output truncated at 4,091 tokens (~3,236 integers). Premature EOF caused exit in 12.972ms."
GREEDY,victim_062_greedy.cpp,200000,251702,275,4090,True,100.0,12.342,EXPLOIT_FAILED,"Context Window Exhausted: Target required 251,702 direct tokens for N=200,000, but output truncated at 4,090 tokens (~3,250 integers). Premature EOF caused exit in 12.342ms."
GRAPH THEORY,victim_064_graph.cpp,100009,126069,230,4081,True,1000.0,11.681,EXPLOIT_FAILED,"Context Window Exhausted: Target required 126,069 direct tokens for N=100,009, but output truncated at 4,081 tokens (~3,238 integers). Premature EOF caused exit in 11.681ms."
GENERAL,victim_065_interactive.cpp,500,646,336,416,False,2000.0,4.904,EXPLOIT_FAILED,Schema hallucination: emitted 416 tokens but omitted testcase header (T) or graph edge count (M).
GENERAL,victim_066_divideconquer.cpp,5000000,6227645,281,4086,True,2000.0,1.097,EXPLOIT_FAILED,"Context Window Exhausted: Target required 6,227,645 direct tokens for N=5,000,000, but output truncated at 4,086 tokens (~3,280 integers). Premature EOF caused exit in 1.097ms."
GRAPH THEORY,victim_067_graph.cpp,100005,124662,264,4089,True,2000.0,11.846,EXPLOIT_FAILED,"Context Window Exhausted: Target required 124,662 direct tokens for N=100,005, but output truncated at 4,089 tokens (~3,281 integers). Premature EOF caused exit in 11.846ms."
DYNAMIC PROGRAMMING,victim_070_dp.cpp,300000,379760,216,4079,True,2000.0,11.551,EXPLOIT_FAILED,"Context Window Exhausted: Target required 379,760 direct tokens for N=300,000, but output truncated at 4,079 tokens (~3,222 integers). Premature EOF caused exit in 11.551ms."
DYNAMIC PROGRAMMING,victim_071_dp.cpp,100000,127110,338,4079,True,2000.0,9.993,EXPLOIT_FAILED,"Context Window Exhausted: Target required 127,110 direct tokens for N=100,000, but output truncated at 4,079 tokens (~3,209 integers). Premature EOF caused exit in 9.993ms."
DYNAMIC PROGRAMMING,victim_072_dp.cpp,100000,125094,258,4093,True,2000.0,10.945,EXPLOIT_FAILED,"Context Window Exhausted: Target required 125,094 direct tokens for N=100,000, but output truncated at 4,093 tokens (~3,272 integers). Premature EOF caused exit in 10.945ms."
MATHEMATICS,victim_073_math.cpp,200000,249381,336,4082,True,2000.0,9.036,EXPLOIT_FAILED,"Context Window Exhausted: Target required 249,381 direct tokens for N=200,000, but output truncated at 4,082 tokens (~3,274 integers). Premature EOF caused exit in 9.036ms."
BRUTEFORCE,victim_074_bruteforce.cpp,100005,123619,225,4082,True,2000.0,15.573,EXPLOIT_FAILED,"Context Window Exhausted: Target required 123,619 direct tokens for N=100,005, but output truncated at 4,082 tokens (~3,303 integers). Premature EOF caused exit in 15.573ms."
DYNAMIC PROGRAMMING,victim_075_dp.cpp,200000,252261,312,4089,True,2000.0,1.844,EXPLOIT_FAILED,"Context Window Exhausted: Target required 252,261 direct tokens for N=200,000, but output truncated at 4,089 tokens (~3,242 integers). Premature EOF caused exit in 1.844ms."
MATHEMATICS,victim_076_math.cpp,200000,249001,321,4079,True,1000.0,14.12,EXPLOIT_FAILED,"Context Window Exhausted: Target required 249,001 direct tokens for N=200,000, but output truncated at 4,079 tokens (~3,276 integers). Premature EOF caused exit in 14.12ms."
STRING PROCESSING,victim_077_string.cpp,220000,280189,269,4082,True,2000.0,13.965,EXPLOIT_FAILED,"Context Window Exhausted: Target required 280,189 direct tokens for N=220,000, but output truncated at 4,082 tokens (~3,205 integers). Premature EOF caused exit in 13.965ms."
DYNAMIC PROGRAMMING,victim_078_dp.cpp,300005,371291,266,4077,True,2000.0,6.075,EXPLOIT_FAILED,"Context Window Exhausted: Target required 371,291 direct tokens for N=300,005, but output truncated at 4,077 tokens (~3,294 integers). Premature EOF caused exit in 6.075ms."
BITMASK,victim_079_bitmask.cpp,100005,125618,340,4080,True,2000.0,5.363,EXPLOIT_FAILED,"Context Window Exhausted: Target required 125,618 direct tokens for N=100,005, but output truncated at 4,080 tokens (~3,249 integers). Premature EOF caused exit in 5.363ms."
GREEDY,victim_083_greedy.cpp,200000,250943,267,4086,True,2000.0,9.992,EXPLOIT_FAILED,"Context Window Exhausted: Target required 250,943 direct tokens for N=200,000, but output truncated at 4,086 tokens (~3,257 integers). Premature EOF caused exit in 9.992ms."
GENERAL,victim_084_backtracking.cpp,2005,2577,331,2103,False,2000.0,14.873,EXPLOIT_FAILED,Uniform random distribution failed to trigger algorithmic worst-case (14.873ms < 2000.0ms).
COMPUTATIONAL GEOMETRY,victim_085_geometry.cpp,200000,250613,290,4093,True,2000.0,12.369,EXPLOIT_FAILED,"Context Window Exhausted: Target required 250,613 direct tokens for N=200,000, but output truncated at 4,093 tokens (~3,267 integers). Premature EOF caused exit in 12.369ms."
DATA STRUCTURES,victim_086_ds.cpp,200000,254941,327,4089,True,2000.0,0.845,EXPLOIT_FAILED,"Context Window Exhausted: Target required 254,941 direct tokens for N=200,000, but output truncated at 4,089 tokens (~3,208 integers). Premature EOF caused exit in 0.845ms."
DYNAMIC PROGRAMMING,victim_087_dp.cpp,2002,2607,322,1494,False,2000.0,17.538,EXPLOIT_FAILED,Failed to compute algebraic hash table collisions for std::unordered_map (keys scattered across buckets).
DATA STRUCTURES,victim_088_set.cpp,510000,646860,229,4077,True,1000.0,4.085,EXPLOIT_FAILED,"Context Window Exhausted: Target required 646,860 direct tokens for N=510,000, but output truncated at 4,077 tokens (~3,214 integers). Premature EOF caused exit in 4.085ms."
MATHEMATICS,victim_091_math.cpp,100000,125307,269,4082,True,1000.0,1.148,EXPLOIT_FAILED,"Context Window Exhausted: Target required 125,307 direct tokens for N=100,000, but output truncated at 4,082 tokens (~3,259 integers). Premature EOF caused exit in 1.148ms."
GENERAL,victim_092_treemerge.cpp,200005,247251,328,4086,True,2000.0,8.802,EXPLOIT_FAILED,"Context Window Exhausted: Target required 247,251 direct tokens for N=200,005, but output truncated at 4,086 tokens (~3,305 integers). Premature EOF caused exit in 8.802ms."
GENERAL,victim_094_trie.cpp,200000,248043,277,4096,True,2000.0,6.611,EXPLOIT_FAILED,"Context Window Exhausted: Target required 248,043 direct tokens for N=200,000, but output truncated at 4,096 tokens (~3,302 integers). Premature EOF caused exit in 6.611ms."
MATHEMATICS,victim_095_math.cpp,200000,249409,246,4092,True,2000.0,3.943,EXPLOIT_FAILED,"Context Window Exhausted: Target required 249,409 direct tokens for N=200,000, but output truncated at 4,092 tokens (~3,282 integers). Premature EOF caused exit in 3.943ms."
BRUTEFORCE,victim_097_bruteforce.cpp,100000,125865,325,4096,True,2000.0,16.445,EXPLOIT_FAILED,"Context Window Exhausted: Target required 125,865 direct tokens for N=100,000, but output truncated at 4,096 tokens (~3,255 integers). Premature EOF caused exit in 16.445ms."
STRING PROCESSING,victim_098_string.cpp,1000000,1243642,343,4089,True,1000.0,5.187,EXPLOIT_FAILED,"Context Window Exhausted: Target required 1,243,642 direct tokens for N=1,000,000, but output truncated at 4,089 tokens (~3,288 integers). Premature EOF caused exit in 5.187ms."
GREEDY,victim_099_greedy.cpp,1000000,1263553,240,4075,True,1000.0,17.131,EXPLOIT_FAILED,"Context Window Exhausted: Target required 1,263,553 direct tokens for N=1,000,000, but output truncated at 4,075 tokens (~3,225 integers). Premature EOF caused exit in 17.131ms."
CONSTRUCTIVE,victim_100_constructive.cpp,200000,253334,229,4077,True,2000.0,6.32,EXPLOIT_FAILED,"Context Window Exhausted: Target required 253,334 direct tokens for N=200,000, but output truncated at 4,077 tokens (~3,219 integers). Premature EOF caused exit in 6.32ms."
STRING PROCESSING,victim_101_string.cpp,200000,254341,276,4077,True,2000.0,12.787,EXPLOIT_FAILED,"Context Window Exhausted: Target required 254,341 direct tokens for N=200,000, but output truncated at 4,077 tokens (~3,206 integers). Premature EOF caused exit in 12.787ms."
MATHEMATICS,victim_102_math.cpp,200000,254452,307,4090,True,2000.0,8.798,EXPLOIT_FAILED,"Context Window Exhausted: Target required 254,452 direct tokens for N=200,000, but output truncated at 4,090 tokens (~3,214 integers). Premature EOF caused exit in 8.798ms."
GREEDY,victim_103_greedy.cpp,1000000,1259914,319,4075,True,1000.0,9.099,EXPLOIT_FAILED,"Context Window Exhausted: Target required 1,259,914 direct tokens for N=1,000,000, but output truncated at 4,075 tokens (~3,234 integers). Premature EOF caused exit in 9.099ms."
GRAPH THEORY,victim_104_graph.cpp,200000,254868,326,4079,True,2000.0,12.583,EXPLOIT_FAILED,"Context Window Exhausted: Target required 254,868 direct tokens for N=200,000, but output truncated at 4,079 tokens (~3,201 integers). Premature EOF caused exit in 12.583ms."
MATHEMATICS,victim_105_math.cpp,200000,254085,230,4087,True,2000.0,3.318,EXPLOIT_FAILED,"Context Window Exhausted: Target required 254,085 direct tokens for N=200,000, but output truncated at 4,087 tokens (~3,217 integers). Premature EOF caused exit in 3.318ms."
GREEDY,victim_106_greedy.cpp,200010,250107,328,4086,True,2000.0,17.249,EXPLOIT_FAILED,"Context Window Exhausted: Target required 250,107 direct tokens for N=200,010, but output truncated at 4,086 tokens (~3,268 integers). Premature EOF caused exit in 17.249ms."
GENERAL,victim_107_algo.cpp,100000,124181,239,4081,True,2000.0,0.277,EXPLOIT_FAILED,"Context Window Exhausted: Target required 124,181 direct tokens for N=100,000, but output truncated at 4,081 tokens (~3,287 integers). Premature EOF caused exit in 0.277ms."
COMPUTATIONAL GEOMETRY,victim_108_geometry.cpp,200000,253663,237,4091,True,2000.0,8.789,EXPLOIT_FAILED,"Context Window Exhausted: Target required 253,663 direct tokens for N=200,000, but output truncated at 4,091 tokens (~3,226 integers). Premature EOF caused exit in 8.789ms."
DYNAMIC PROGRAMMING,victim_109_dp.cpp,2005,2561,330,2140,False,2000.0,13.735,EXPLOIT_FAILED,Schema hallucination: emitted 2140 tokens but omitted testcase header (T) or graph edge count (M).
DYNAMIC PROGRAMMING,victim_110_dp.cpp,1000000,1235961,297,4094,True,2000.0,4.697,EXPLOIT_FAILED,"Context Window Exhausted: Target required 1,235,961 direct tokens for N=1,000,000, but output truncated at 4,094 tokens (~3,312 integers). Premature EOF caused exit in 4.697ms."
DYNAMIC PROGRAMMING,victim_111_dp.cpp,1000100,1254691,291,4072,True,2000.0,13.775,EXPLOIT_FAILED,"Context Window Exhausted: Target required 1,254,691 direct tokens for N=1,000,100, but output truncated at 4,072 tokens (~3,245 integers). Premature EOF caused exit in 13.775ms."
GREEDY,victim_112_greedy.cpp,500000,632546,309,4080,True,1000.0,8.763,EXPLOIT_FAILED,"Context Window Exhausted: Target required 632,546 direct tokens for N=500,000, but output truncated at 4,080 tokens (~3,225 integers). Premature EOF caused exit in 8.763ms."
CONSTRUCTIVE,victim_113_constructive.cpp,100000,125843,299,4086,True,2000.0,9.381,EXPLOIT_FAILED,"Context Window Exhausted: Target required 125,843 direct tokens for N=100,000, but output truncated at 4,086 tokens (~3,248 integers). Premature EOF caused exit in 9.381ms."
GENERAL,victim_114_treemerge.cpp,200005,253838,267,4092,True,2000.0,16.174,EXPLOIT_FAILED,"Context Window Exhausted: Target required 253,838 direct tokens for N=200,005, but output truncated at 4,092 tokens (~3,224 integers). Premature EOF caused exit in 16.174ms."
GRAPH THEORY,victim_115_graph.cpp,100000,127671,312,4085,True,2000.0,4.85,EXPLOIT_FAILED,"Context Window Exhausted: Target required 127,671 direct tokens for N=100,000, but output truncated at 4,085 tokens (~3,200 integers). Premature EOF caused exit in 4.85ms."
LINEAR BASIS,victim_116_linearalgebra.cpp,100000,126801,241,4076,True,2000.0,4.854,EXPLOIT_FAILED,"Context Window Exhausted: Target required 126,801 direct tokens for N=100,000, but output truncated at 4,076 tokens (~3,216 integers). Premature EOF caused exit in 4.854ms."
DYNAMIC PROGRAMMING,victim_117_dp.cpp,200000,252304,231,4091,True,2000.0,17.164,EXPLOIT_FAILED,"Context Window Exhausted: Target required 252,304 direct tokens for N=200,000, but output truncated at 4,091 tokens (~3,243 integers). Premature EOF caused exit in 17.164ms."
GRAPH THEORY,victim_119_graph.cpp,500005,622463,277,4073,True,2000.0,13.939,EXPLOIT_FAILED,"Context Window Exhausted: Target required 622,463 direct tokens for N=500,005, but output truncated at 4,073 tokens (~3,272 integers). Premature EOF caused exit in 13.939ms."
MATHEMATICS,victim_120_math.cpp,100000,125242,311,4092,True,2000.0,9.938,EXPLOIT_FAILED,"Context Window Exhausted: Target required 125,242 direct tokens for N=100,000, but output truncated at 4,092 tokens (~3,267 integers). Premature EOF caused exit in 9.938ms."
STRING PROCESSING,victim_121_string.cpp,1000000,1239075,282,4076,True,1000.0,16.187,EXPLOIT_FAILED,"Context Window Exhausted: Target required 1,239,075 direct tokens for N=1,000,000, but output truncated at 4,076 tokens (~3,289 integers). Premature EOF caused exit in 16.187ms."
GRAPH THEORY,victim_122_graph.cpp,500000,618239,301,4087,True,2000.0,7.564,EXPLOIT_FAILED,"Context Window Exhausted: Target required 618,239 direct tokens for N=500,000, but output truncated at 4,087 tokens (~3,305 integers). Premature EOF caused exit in 7.564ms."
MATHEMATICS,victim_123_math.cpp,200005,249029,312,4082,True,2000.0,6.755,EXPLOIT_FAILED,"Context Window Exhausted: Target required 249,029 direct tokens for N=200,005, but output truncated at 4,082 tokens (~3,278 integers). Premature EOF caused exit in 6.755ms."
GENERAL,victim_hashmap.cpp,5000,6346,250,4081,True,2000.0,0.881,EXPLOIT_FAILED,"Context Window Exhausted: Target required 6,346 direct tokens for N=5,000, but output truncated at 4,081 tokens (~3,254 integers). Premature EOF caused exit in 0.881ms."
