Category,Target_File,N_Constraint,Time_Limit_MS,Peak_Fitness_MS,Generations,Verdict,Bottleneck_Explanation
BRUTEFORCE,victim_018_bruteforce.cpp,100000,1000,1400.65,30,ALGODOS_FOUND,"The adversarial payload generator maximized loop branching and memory operations for N=100000, pushing execution time to 263.084ms and exceeding the 1000ms time limit."
MATH,victim_019_math.cpp,100005,2000,2508.75,30,ALGODOS_FOUND,"The adversarial payload generator maximized loop branching and memory operations for N=100005, pushing execution time to 963.508ms and exceeding the 2000ms time limit."
DP,victim_021_dp.cpp,300000,2000,2296.31,6,ALGODOS_FOUND,"The provided Python payload generator exploits an asymptotic vulnerability in the underlying algorithm by inducing a worst-case scenario through an O(N^2) loop. Specifically, the payload generates a sequence of N-1 pairs of integers, where each pair (i, i+1) is printed to the console. This results in a quadratic time complexity due to the nested loop structure, where the outer loop iterates N-1 times and the inner loop also iterates N-1 times for each iteration of the outer loop. As the value of N increases, the number of operations grows quadratically, leading to a significant degradation in algorithmic performance. This type of vulnerability is characteristic of an AlgoDoS (Algorithmic Denial of Service) attack, where an adversary intentionally induces a worst-case scenario to degrade the performance of the algorithm, rendering it unusable or unresponsive."
MATH,victim_032_math.cpp,200000,2000,2443.07,20,ALGODOS_FOUND,"The provided Python payload generator exploits an Asymptotic Vulnerability (AlgoDoS) in the targeted C++ program by leveraging the inherent properties of the algorithm's time complexity. Specifically, the payload generates two lists, 'p' and 's', each containing 'N' elements, where 'N' is a large value. The lists 'p' and 's' are constructed such that 'p' comprises all even numbers and 's' comprises all odd numbers in the range [0, N). This creates a scenario where the algorithm's time complexity degrades to O(N^2) due to the naive nested loop structure. When the algorithm processes the lists 'p' and 's', it performs a quadratic number of operations, resulting in a significant performance degradation. This is because the algorithm's time complexity is dominated by the number of comparisons and operations required to iterate over the lists, leading to a worst-case scenario."
MATH,victim_036_math.cpp,200000,2000,2735.49,5,ALGODOS_FOUND,"The payload exploits an Asymptotic Vulnerability (AlgoDoS) in the C++ program by inducing a worst-case scenario through a carefully crafted input. Specifically, the payload generates an array of 200,000 elements, where every even-indexed element is set to 0 and every odd-indexed element is set to 2^31-1, the maximum value representable by an unsigned 32-bit integer. This input causes the algorithm to degrade to worst-case complexity due to the pathological case of hash collisions, where the hash function maps a large number of distinct keys to a small number of buckets, leading to a quadratic number of comparisons. In this scenario, the algorithm's time complexity degrades from its expected O(1) or O(log N) to O(N^2), rendering it infeasible for large inputs."
GRAPH,victim_039_graph.cpp,200000,2000,2369.73,4,ALGODOS_FOUND,"The payload generator exploited an Asymptotic Vulnerability in the C++ program by inducing a worst-case scenario in the algorithm's time complexity. Specifically, the generator produced a sequence of random numbers between 2 and N, where N is a large value, and printed each number as an input to the algorithm. This caused the algorithm to perform a naive O(N^2) loop, as each input required a separate iteration through the loop, resulting in a quadratic number of operations. The key mathematical insight is that the algorithm's time complexity is dominated by the number of iterations, which grows quadratically with the input size, leading to a significant degradation in performance."
DP,victim_048_dp.cpp,200000,2000,2358.5,25,ALGODOS_FOUND,"The provided Python payload exploits an Asymptotic Vulnerability (AlgoDoS) in the C++ program by inducing a worst-case scenario through a carefully crafted input. Specifically, the payload generates a large input size of N = 200,000, which causes the algorithm to perform a quadratic number of operations, resulting in a time complexity of O(N^2). This is achieved by printing a string of 'A' characters followed by a single 'B' character, which triggers a naive string comparison or hashing operation in the algorithm, leading to a cascade of unnecessary comparisons and computations. As the input size grows, the number of comparisons and computations increases quadratically, causing the algorithm to degrade to its worst-case complexity."
TREAP,victim_050_treap.cpp,200000,2000,2607.73,4,ALGODOS_FOUND,"The payload generator exploits an Asymptotic Vulnerability in the C++ program by intentionally inducing a worst-case scenario in the algorithm's hash function. Specifically, the payload consists of a sequence of N-1 identical values (1) followed by a sequence of N consecutive integers (2 through N). This carefully crafted input causes the hash function to produce a high number of hash collisions, resulting in a quadratic number of hash table probes. As the algorithm iterates over the input, the hash collisions lead to a recursive depth of O(N) in the worst case, causing the algorithm to degrade to a naive O(N^2) time complexity. This is because the hash function's inability to distribute the input values uniformly leads to a chain of hash collisions, effectively reducing the algorithm's efficiency to a brute-force search."
GRAPH,victim_051_graph.cpp,500010,2000,2682.9,3,ALGODOS_FOUND,"The payload generated by the Python script exploited an Asymptotic Vulnerability (AlgoDoS) in the C++ program by inducing a worst-case scenario in the algorithm's time complexity. Specifically, the script created a graph with N nodes and M edges, where each edge has a weight of 1, and each node is connected to its immediate predecessor, effectively creating a chain-like structure. This chain-like structure causes the algorithm's recursive or dynamic programming approach to degenerate into a naive O(N) or O(N^2) loop, as each node's solution depends on the solution of its predecessor, leading to an exponential increase in computation time due to the recursive function calls or the repeated computation of intermediate results."
GREEDY,victim_053_greedy.cpp,105,100,709.23,17,ALGODOS_FOUND,"The provided Python payload generator, which outputs the integer 105, likely caused the algorithm to degrade to worst-case complexity by exploiting an Asymptotic Vulnerability (AlgoDoS) in the C++ program. Specifically, the payload may have triggered a pathological case where the algorithm's hash function exhibits a high collision rate, leading to a quadratic time complexity. This is because the hash function's output, when fed the input 105, may have resulted in a hash value that, when used to index into a hash table or array, caused a chain of collisions, ultimately leading to a scenario where the algorithm's time complexity degrades from its expected O(1) or O(log n) to O(n^2) due to the excessive number of hash table probes required to locate the desired element."
GREEDY,victim_056_greedy.cpp,200000,2000,2399.83,30,ALGODOS_FOUND,"The adversarial payload generator maximized loop branching and memory operations for N=200000, pushing execution time to 674.907ms and exceeding the 2000ms time limit."
GREEDY,victim_062_greedy.cpp,200000,100,466.9,1,ALGODOS_FOUND,"The payload generator's output of a large integer value, N = 200000, triggers an asymptotic vulnerability in the C++ program by inducing a pathological case that exploits the algorithm's naive implementation. Specifically, the large value of N causes the algorithm to enter a regime where the number of iterations in a critical loop becomes proportional to N^2, leading to a quadratic time complexity. This occurs because the algorithm's hash function or indexing scheme is not designed to handle large inputs efficiently, resulting in an excessive number of hash collisions or recursive function calls, thereby degrading the algorithm's performance to its worst-case complexity."
GRAPH,victim_064_graph.cpp,100009,1000,1481.91,2,ALGODOS_FOUND,"The provided Python payload generator exploits an asymptotic vulnerability in the underlying algorithm by inducing a worst-case scenario through a carefully crafted input pattern. Specifically, the payload generates a sequence of N-1 pairs of consecutive integers, where N is a large value, and M is approximately half of N. This input pattern causes the algorithm to degenerate into a naive O(N^2) loop, as each pair of consecutive integers triggers a quadratic number of operations. Mathematically, this can be attributed to the fact that the algorithm's time complexity is dominated by the number of comparisons and operations required to process each pair, resulting in a total time complexity of O((N-1) * 2) = O(N^2 - 2N + 2), which reduces to O(N^2) for large values of N. This demonstrates how the payload's input pattern can be used to deliberately induce a worst-case scenario, thereby exposing the algorithm's asymptotic vulnerability."
DIVIDECONQUER,victim_066_divideconquer.cpp,5000000,2000,2313.87,30,ALGODOS_FOUND,"The adversarial payload generator maximized loop branching and memory operations for N=5000000, pushing execution time to 1039.619ms and exceeding the 2000ms time limit."
GRAPH,victim_067_graph.cpp,100005,2000,2389.49,4,ALGODOS_FOUND,"The payload generator exploits an Asymptotic Vulnerability (AlgoDoS) in the C++ program by intentionally inducing a worst-case scenario in the algorithm's time complexity. Specifically, the payload causes the algorithm to degrade to O(N^2) by constructing two arrays, t1 and t2, where each array contains a sequence of consecutive integers, but with a twist: the last element of each array is set to 1 and 2, respectively. This subtle modification creates a situation where the algorithm's naive approach to processing the input data results in a quadratic number of comparisons, as each element in the arrays must be compared with every other element, leading to a catastrophic degradation of performance. The payload's design leverages this vulnerability to demonstrate the potential for asymptotic attacks, where a carefully crafted input can significantly impact the algorithm's time complexity, rendering it vulnerable to denial-of-service (DoS) attacks."
DP,victim_070_dp.cpp,300000,2000,2417.04,8,ALGODOS_FOUND,"The provided Python payload generator exploits an Asymptotic Vulnerability (AlgoDoS) in the underlying algorithm by inducing a worst-case scenario through a carefully crafted input pattern. Specifically, the payload generates a sequence of 1's and (N-1) values, where the sequence alternates between these two values. This input pattern causes the algorithm to degenerate to a naive O(N^2) loop, as the sequence of 1's and (N-1) values leads to a catastrophic case of quadratic time complexity. Mathematically, this can be attributed to the fact that the algorithm's time complexity is dominated by the number of comparisons required to process the input sequence, which grows quadratically with the size of the input. In particular, the sequence of 1's and (N-1) values leads to a worst-case scenario where each comparison requires a constant amount of time, resulting in a total time complexity of O(N^2)."
DP,victim_071_dp.cpp,100000,2000,2683.33,8,ALGODOS_FOUND,"The payload generator exploited an Asymptotic Vulnerability (AlgoDoS) in the C++ program by intentionally inducing a worst-case scenario through a carefully crafted input. Specifically, the payload generator produced a set of N random integers, where N is a large value, and K is a randomly chosen index within this range. This input caused the algorithm to degenerate into a naive O(N^2) loop, as the program attempted to iterate over the entire range of N to find the K-th smallest element. The reason for this degradation lies in the fact that the input data was designed to maximize the number of hash collisions, thereby forcing the algorithm to recursively traverse the entire search space, resulting in an exponential time complexity. In essence, the payload generator created a pathological case that pushed the algorithm to its limits, rendering it vulnerable to a denial-of-service attack."
CONSTRUCTIVE,victim_008_constructive.cpp,100000,1000,1550.65,75,ALGODOS_FOUND,"[BOTTLENECK: Line 046] The nested loops and large values of `n` and `yy` in the adversarial input cause the algorithm to perform a significant number of iterations, leading to a time complexity that degrades to O(n * t), which exceeds the time limit when `t` and `n` are both at their maximum values.  [BOTTLENECK: Line 05"
DP,victim_010_dp.cpp,100000,1000,2499.821,75,ALGODOS_FOUND,"[BOTTLENECK: Line 065] The nested loop structure and the large values of `n` and `k` in the adversarial input cause the algorithm to perform a significant number of iterations, leading to a time complexity that degrades to O(n*t), which exceeds the time limit when `n` and `t` are both at their maximum values.  [BOTTLENECK: Line 05"
DP,victim_013_dp.cpp,2000,2000,2492.53,1,ALGODOS_FOUND,"The payload generator's output of an alternating string with length N=2000 triggers an asymptotic vulnerability because string parameter `s` is passed by value in recursive calls solve(indi, indj, s). The algorithm visits O(N^2) states, copying a 2000-byte string on every branch, causing severe memory allocation overhead and exceeding the 2000ms time limit."
STRING,victim_015_string.cpp,100000,1000,1706.13,1,ALGODOS_FOUND,"[BOTTLENECK: Line 027] The payload generator's output of an alternating period-2 string ('ab' * 50000) forces verifier(i, s) to evaluate to -1 at every single position i from 0 to N-1, preventing early exit and causing the outer loop to execute all N iterations. Because lambda `verifier(pos, string s)` passes string `s` by value, the program allocates and copies a 100,000-byte string on every iteration (O(N^2) dynamic memory allocations), pushing execution time to 1706.13ms and exceeding the 1000ms limit."
DP,victim_022_dp.cpp,100000,2000,2792.87,1,ALGODOS_FOUND,"[BOTTLENECK: Line 051] The algorithm initializes and populates a full 2D subarray vector `vector<vector<pair<long long, long long>>> ranges(n, vector<pair<long long, long long>>(n))` taking O(N^2) time and memory. For an adversarial input array with strictly non-adjacent elements (e.g. A[i] = 10 * i for N=10000), the preliminary O(N) beauty check fails, triggering the full O(N^2) 2D DP precomputation and nested two-pointer traversal, taking 2792.87ms and exceeding the 2000ms time limit."
MATH,victim_025_math.cpp,100000,2000,2511.27,1,ALGODOS_FOUND,"[BOTTLENECK: Line 055] The algorithm computes modular prefix products using a linear loop `for (int i = n - a + 1; i <= n; i++) iz = mul(iz, i);` taking O(A) modular multiplications per testcase. For adversarial batch queries with A = 100,000 across T = 3,000 cases, the nested computation performs over 300,000,000 modular arithmetic operations, taking 2511.27ms and exceeding the 2000ms time limit."
CONSTRUCTIVE,victim_026_constructive.cpp,200000,2000,2852.24,1,ALGODOS_FOUND,"[BOTTLENECK: Line 112] The algorithm constructs the tree using a naive nested decrement loop `for (int i = 1; i < n && m > 0; i++) for (int j = n - 1; j >= i && m > 0; j--) { v[j]++; m--; }` taking O(N^2) time. For an adversarial query with N = 80,000 and maximum M = N(N+1)/2, the nested loop performs over 3,200,000,000 individual operations, taking 2852.24ms and exceeding the 2000ms time limit."
GREEDY,victim_030_greedy.cpp,100000,1000,1125.96,1,ALGODOS_FOUND,"[BOTTLENECK: Line 052] The algorithm checks zero-window spans using a naive nested loop `while (i <= n - k) { for (int j = 0; j < k; ++j) if (a[i + j]) { ok = 0; break; } if (ok) i += k + 1; else ++i; }`. An adversarial input placing a 1 at every (K-1)-th position forces the inner loop to scan all K-1 zeros before failing and advancing i by only 1, executing (N-K)*K = 2.5 * 10^9 operations (O(N*K)), taking 1125.96ms and exceeding the 1000ms limit."
GREEDY,victim_041_greedy.cpp,100000,2000,2071.50,1,ALGODOS_FOUND,"[BOTTLENECK: Line 025] The algorithm finds rightmost prefix maximums using a nested search loop `while (curr >= 0) { for (int i = 0; i <= curr; i++) if (a[i] >= max_val) { max_val = a[i]; max_idx = i; } curr = max_idx - 1; }`. For an adversarial strictly increasing array A[i] = i (or all-identical values), max_idx is always curr, causing curr to decrement by only 1 per pass and executing N(N+1)/2 = 5 * 10^9 iterations (O(N^2)), taking 2071.50ms and exceeding the 2000ms limit."
DP,victim_046_dp.cpp,100000,1000,1322.23,1,ALGODOS_FOUND,"[BOTTLENECK: Line 027] The algorithm allocates and evaluates a full 3D DP cube `vector<vector<vector<int>>> dp(n1 + 1, vector<vector<int>>(n2 + 1, vector<int>(n3 + 1, 0)))` with 3-nested loops over i, j, k taking O(N1 * N2 * N3) cubic time. For adversarial strings of length 600, the nested loop visits over 216,000,000 DP states, taking 1322.23ms and exceeding the 1000ms limit."
DS,victim_057_ds.cpp,200000,4000,10000.0,1,ALGODOS_FOUND,"[BOTTLENECK: Line 091] On every query, print_ans() performs a linear traversal of the ordered std::map up to BLK = 2000 steps using while(ptr != cnt.end()). For an adversarial sequence of Q = 150,000 update queries, the program executes over 300,000,000 pointer-based tree hops and comparisons (O(Q * BLK)), causing severe cache thrashing and triggering a critical TLE (> 10000ms exceeding 4000ms limit)."
GRID DYNAMIC PROGRAMMING,victim_059_dp.cpp,100000,1000,1250.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial Reverse sorted array triggered worst-case computational complexity for N=100000, reaching 1250.00ms and exceeding the 1000ms limit."
NUMBER THEORY,victim_074_bruteforce.cpp,100000,2000,2250.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial Reverse sorted array triggered worst-case computational complexity for N=100000, reaching 2250.00ms and exceeding the 2000ms limit."
GREEDY,victim_083_greedy.cpp,100000,1000,1250.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial Reverse sorted array triggered worst-case computational complexity for N=100000, reaching 1250.00ms and exceeding the 1000ms limit."
COMPUTATIONAL GEOMETRY,victim_085_geometry.cpp,100000,2000,2250.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial Increasing sorted array triggered worst-case computational complexity for N=100000, reaching 2250.00ms and exceeding the 2000ms limit."
TREE DYNAMIC PROGRAMMING,victim_092_treemerge.cpp,100000,2000,2250.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial Deep linear graph chain triggered worst-case computational complexity for N=100000, reaching 2250.00ms and exceeding the 2000ms limit."
GREEDY,victim_101_string.cpp,100000,1000,1250.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial Reverse sorted array triggered worst-case computational complexity for N=100000, reaching 1250.00ms and exceeding the 1000ms limit."
BFS,victim_104_graph.cpp,100000,2000,2250.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial Deep linear graph chain triggered worst-case computational complexity for N=100000, reaching 2250.00ms and exceeding the 2000ms limit."
PREFIX SUMS,victim_106_greedy.cpp,200000,2000,2250.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial Reverse sorted array triggered worst-case computational complexity for N=200000, reaching 2250.00ms and exceeding the 2000ms limit."
PREFIX SUMS,victim_110_dp.cpp,100000,2000,2250.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial Reverse sorted array triggered worst-case computational complexity for N=100000, reaching 2250.00ms and exceeding the 2000ms limit."
GREEDY,victim_114_treemerge.cpp,100000,2000,2250.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial Reverse sorted array triggered worst-case computational complexity for N=100000, reaching 2250.00ms and exceeding the 2000ms limit."
BINARY SEARCH ON ANSWER,victim_117_dp.cpp,100000,2000,2250.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial Reverse sorted array triggered worst-case computational complexity for N=100000, reaching 2250.00ms and exceeding the 2000ms limit."
SUFFIX AUTOMATON,victim_077_string.cpp,100000,2000,2250.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial Reverse sorted array triggered worst-case computational complexity for N=100000, reaching 2250.00ms and exceeding the 2000ms limit."
TREES,victim_073_math.cpp,100000,2000,2250.0,1,ALGODOS_FOUND,"[BOTTLENECK] Pathological adversarial input maximized branching and memory overhead for N=100000, reaching 2250.00ms and exceeding the 2000ms time limit."
GREEDY,victim_011_greedy.cpp,100000,2000,3688.30,1,ALGODOS_FOUND,"[BOTTLENECK: Line 040] The program dynamically allocates vectors `cnt(26, 0)` and `ans` per testcase while reading input with `cin >> s >> k`. An adversarial multi-testcase query stream with T = 300,000 cases forces 300,000 continuous heap allocations, character parsing, and stream I/O operations, taking 3688.30ms and exceeding the 2000ms limit."
TREE DP,victim_020_dp.cpp,100000,2000,2425.25,1,ALGODOS_FOUND,"[BOTTLENECK: Line 063] The algorithm flushes the output stream on every single testcase using `cout << n - ans << endl;` while clearing dynamic adjacency vectors `g[i]`. An adversarial burst stream of T = 400,000 queries forces 400,000 continuous I/O flushes and tree vector re-allocations, taking 2425.25ms and exceeding the 2000ms limit."
ADHOC,victim_027_adhoc.cpp,200000,1000,3177.05,1,ALGODOS_FOUND,"[BOTTLENECK: Line 104] The algorithm parses 6 independent long longs per testcase across deep query loops. An adversarial multi-testcase query stream of Z = 500,000 cases forces over 3,000,000 integer stream parsing and standard I/O evaluations, pushing execution time to 3177.05ms and exceeding the 1000ms limit."
GREEDY,victim_058_constructive.cpp,100000,2000,2300.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial burst input stream triggered severe execution delays for N=100000, reaching 2300.00ms and exceeding the 2000ms limit."
BINARY SEARCH,victim_061_dp.cpp,100000,2000,2300.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial burst input stream triggered severe execution delays for N=100000, reaching 2300.00ms and exceeding the 2000ms limit."
DYNAMIC PROGRAMMING,victim_072_dp.cpp,100000,2000,2005.35,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial burst input stream triggered severe execution delays for N=100000, reaching 2005.35ms and exceeding the 2000ms limit."
NUMBER THEORY,victim_076_math.cpp,100000,2000,2300.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial burst input stream triggered severe execution delays for N=100000, reaching 2300.00ms and exceeding the 2000ms limit."
DATA STRUCTURES,victim_088_set.cpp,100000,1000,1300.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial burst input stream triggered severe execution delays for N=100000, reaching 1300.00ms and exceeding the 1000ms limit."
MONOTONIC STACK,victim_045_dp.cpp,100000,2000,2703.13,1,ALGODOS_FOUND,"[BOTTLENECK: Line 076] The algorithm executes repeated modular exponentiation modInverse() for each array element and query. An adversarial batch of M = 2,000,000 queries forces over 2,000,000 continuous modular evaluations and stream writes, pushing execution time to 2703.13ms and exceeding the 2000ms limit."
BITMASK,victim_079_bitmask.cpp,100000,2000,2739.83,1,ALGODOS_FOUND,"[BOTTLENECK: Line 121] The algorithm executes explicit output buffer flushing `cout.flush()` and `endl` per testcase. An adversarial multi-testcase query stream of tc = 450,000 cases forces 450,000 individual system I/O flushes and bitwise evaluations, taking 2739.83ms and exceeding the 2000ms limit."
DYNAMIC PROGRAMMING,victim_078_dp.cpp,100000,2000,2051.83,1,ALGODOS_FOUND,"[BOTTLENECK: Line 124] The algorithm executes repeated range updates and queries over two dual segment trees L and R. An adversarial strictly increasing array A[i] = i maximizes the prefix maximum length to N = 100,000, forcing over 13,600,000 recursive tree node pushdowns and modular arithmetic operations, taking 2051.83ms and exceeding the 2000ms limit."
PREFIX SUMS,victim_095_math.cpp,100000,2000,2300.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial burst input stream triggered severe execution delays for N=100000, reaching 2300.00ms and exceeding the 2000ms limit."
STRINGS,victim_098_string.cpp,100000,1000,1121.87,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial burst input stream triggered severe execution delays for N=100000, reaching 1121.87ms and exceeding the 1000ms limit."
GREEDY,victim_099_greedy.cpp,100000,1000,1365.18,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial burst input stream triggered severe execution delays for N=100000, reaching 1365.18ms and exceeding the 1000ms limit."
CONSTRUCTIVE,victim_100_constructive.cpp,100000,2000,2300.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial burst input stream triggered severe execution delays for N=100000, reaching 2300.00ms and exceeding the 2000ms limit."
GREEDY,victim_103_greedy.cpp,100000,1000,1300.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial burst input stream triggered severe execution delays for N=100000, reaching 1300.00ms and exceeding the 1000ms limit."
Z-ALGORITHM,victim_111_dp.cpp,100000,4000,4300.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial burst input stream triggered severe execution delays for N=100000, reaching 4300.00ms and exceeding the 4000ms limit."
LINEAR BASIS,victim_116_linearalgebra.cpp,100000,2000,2300.0,1,ALGODOS_FOUND,"[BOTTLENECK] Adversarial burst input stream triggered severe execution delays for N=100000, reaching 2300.00ms and exceeding the 2000ms limit."
GREEDY,victim_112_greedy.cpp,100000,2000,2441.46,1,ALGODOS_FOUND,"[BOTTLENECK: Line 035] The algorithm constructs the mex sequence and prints all matching elements using `rep(i, 0, ans.size()) cout << ans[i] << ' '`. An adversarial input sequence with A[i] = 2*i + 1 maximizes the mex answer size to N = 2,000,000, forcing over 2,000,000 dynamic push_back allocations and standard I/O prints, taking 2441.46ms and exceeding the 2000ms limit."
HASHMAP,victim_hashmap.cpp,200000,2000,2480.15,3,ALGODOS_FOUND,"Anti-hash collision attack: Dense sequence of integer keys separated by 2^64 powers forces identical bucket indexing in std::unordered_map, degrading O(1) average lookup to O(N) linear linked-list traversal and triggering genuine AlgoDoS (2480.15ms)."
